,team_id,player_id,loc_x,loc_y,ball_z,shot_clock
235,1610612737.0,201952.0,29.83654,23.51921,0.0,24.0
236,1610612737.0,203145.0,40.65838,31.67316,0.0,24.0
237,1610612765.0,101141.0,56.40049,25.56936,0.0,24.0
238,1610612765.0,202704.0,73.5785,25.49387,0.0,24.0
239,1610612765.0,202694.0,48.95184,35.3834,0.0,24.0
240,1610612765.0,203484.0,48.56249,14.48082,0.0,24.0
241,1610612765.0,203083.0,47.13807,24.67531,0.0,24.0
242,-1.0,-1.0,47.53503,25.80969,10.83276,24.0
243,1610612737.0,2594.0,45.8503,15.72195,0.0,24.0
244,1610612737.0,200794.0,57.91848,24.4902,0.0,24.0
245,1610612737.0,201143.0,47.09905,24.71032,0.0,24.0
246,1610612737.0,201952.0,29.90748,23.53192,0.0,24.0
247,1610612737.0,203145.0,40.67021,31.67007,0.0,24.0
248,1610612765.0,101141.0,56.36302,25.5801,0.0,24.0
249,1610612765.0,202704.0,73.54558,25.50349,0.0,24.0
250,1610612765.0,202694.0,49.02326,35.4037,0.0,24.0
251,1610612765.0,203484.0,48.57472,14.48124,0.0,24.0
252,1610612765.0,203083.0,47.09905,24.71032,0.0,24.0
253,-1.0,-1.0,48.03943,25.95431,10.70486,24.0
254,1610612737.0,2594.0,45.86079,15.72329,0.0,24.0
255,1610612737.0,200794.0,58.0891,24.77415,0.0,24.0
256,1610612737.0,201143.0,47.03424,24.74635,0.0,24.0
257,1610612737.0,201952.0,29.97636,23.54808,0.0,24.0
258,1610612737.0,203145.0,40.6835,31.67084,0.0,24.0
259,1610612765.0,101141.0,56.30566,25.61475,0.0,24.0
260,1610612765.0,202704.0,73.51029,25.5168,0.0,24.0
261,1610612765.0,202694.0,49.09837,35.43123,0.0,24.0
262,1610612765.0,203484.0,48.58657,14.48258,0.0,24.0
263,1610612765.0,203083.0,47.03424,24.74635,0.0,24.0
264,-1.0,-1.0,48.45719,26.1264,10.6687,24.0
265,1610612737.0,2594.0,45.87485,15.723700000000001,0.0,24.0
266,1610612737.0,200794.0,58.26303,25.06953,0.0,24.0
267,1610612737.0,201143.0,46.93414,24.81644,0.0,24.0
